SalePrice,LotArea,YearBuilt,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,zipCode
208500,8450,2003,1710,2,1,3,8,2,50015
181500,9600,1976,1262,2,0,3,6,2,50034
223500,11250,2001,1786,2,1,3,6,2,50015
250000,14260,2000,2198,2,1,4,9,3,50025
143000,14115,1993,1362,1,1,1,5,2,50021
307000,10084,2004,1694,2,0,3,7,2,50031
200000,10382,1973,2090,2,1,3,7,2,50024
118000,7420,1939,1077,1,0,2,5,1,50013
129500,11200,1965,1040,1,0,3,5,1,50029
144000,12968,1962,912,1,0,2,4,1,50029
157000,10920,1960,1253,1,1,2,5,1,50022
132000,6120,1929,854,1,0,2,5,2,50013
149000,11241,1970,1004,1,0,2,5,2,50022
90000,10791,1967,1296,2,0,2,6,2,50029
159000,13695,2004,1114,1,1,3,6,2,50030
139400,7449,1930,1108,1,0,3,6,1,50019
230000,9742,2002,1795,2,0,3,7,2,50015
129900,4224,1976,1060,1,0,3,6,2,50020
154000,8246,1968,1060,1,0,3,6,1,50029
256300,14230,2007,1600,2,0,3,7,3,50026
134800,7200,1951,900,1,0,3,5,2,50022
306000,11478,2007,1704,2,0,3,7,3,50026
207500,16321,1957,1600,1,0,2,6,1,50022
68500,6324,1927,520,1,0,1,4,1,50013
40000,8500,1920,1317,1,0,3,6,1,50019
149350,8544,1966,1228,1,1,3,6,1,50029
179900,11049,2007,1234,2,0,3,7,2,50015
165500,10552,1959,1700,1,1,4,6,2,50022
277500,7313,2005,1561,2,0,2,6,2,50026
309000,13418,2004,2452,3,1,4,9,3,50026
145000,10859,1994,1097,1,1,3,6,2,50015
153000,8532,1954,1297,1,0,3,5,2,50022
170000,16905,1959,1328,1,1,2,5,1,50033
144000,9180,1983,884,1,0,2,5,2,50030
130250,9200,1975,938,1,0,3,5,1,50015
141000,7945,1959,1150,1,0,3,6,1,50022
319900,7658,2005,1752,2,0,2,6,2,50026
249700,11096,2006,1656,2,0,3,7,3,50031
127000,7742,1966,955,1,0,3,6,1,50029
177000,13869,1997,1470,2,0,3,6,2,50018
114500,6240,1934,1176,1,0,3,6,2,50013
110000,8472,1963,816,1,0,2,5,2,50019
385000,50271,1981,1842,0,1,0,5,3,50034
130000,7134,1955,1360,1,0,3,6,2,50022
180500,10175,1964,1425,2,0,3,7,2,50022
196500,11645,2004,1720,2,1,3,7,2,50015
124900,7200,1972,780,1,0,2,4,1,50015
101000,7200,1920,1111,1,0,3,6,1,50019
202500,6442,2006,1370,2,0,2,6,2,50026
140000,10300,1921,1710,2,0,3,9,2,50027
219500,9375,1997,2034,2,1,3,8,2,50015
317000,9591,2004,2473,2,1,4,9,3,50026
180000,19900,1970,2207,2,0,3,7,2,50022
226000,10665,2003,1479,2,0,3,7,2,50015
80000,4608,1945,747,1,0,2,4,1,50027
225000,15593,1953,2287,2,0,3,7,2,50014
244000,13651,1973,2223,2,0,3,8,2,50022
129500,7599,1982,845,1,0,2,4,2,50021
185000,10141,1998,1718,2,1,3,7,2,50018
144900,10200,1954,1086,1,0,3,6,2,50022
107400,5790,1915,1605,2,0,3,8,1,50027
91000,1596,1973,988,1,0,2,5,1,50020
135750,8475,1956,952,1,0,2,4,1,50022
127000,8635,1948,1285,1,0,2,6,1,50013
136500,10778,1968,1768,2,0,4,8,0,50029
110000,10440,1910,1230,1,1,2,5,2,50027
193500,13000,1968,2142,2,1,4,8,1,50022
153500,4500,1998,1337,2,0,2,5,2,50021
245000,10206,2007,1563,2,0,3,6,3,50031
126500,8892,1960,1065,1,1,3,6,2,50022
168500,8530,1995,1474,2,1,3,7,2,50018
260000,16059,1991,2417,2,1,4,9,2,50025
174000,11911,2005,1560,2,1,3,6,2,50018
123600,8070,1994,990,1,0,3,5,0,50015
109900,7200,1950,1040,1,0,2,4,2,50022
163500,13360,1921,964,1,0,2,5,2,50016
133900,7200,1910,2291,2,0,4,9,2,50027
204750,9337,1997,1786,2,1,3,7,2,50015
185000,9765,1993,1470,2,1,3,6,2,50018
214000,10264,1999,1588,2,0,3,6,2,50015
94750,10921,1965,960,1,0,3,6,1,50017
128950,9320,1959,1225,1,1,3,6,0,50022
205000,10603,1977,1610,2,0,3,6,2,50024
178000,9206,1985,1732,2,1,3,7,2,50030
198900,10402,2009,1226,2,0,3,6,3,50015
169500,7758,1931,1818,1,1,4,7,1,50019
250000,9375,2003,1992,2,1,3,9,2,50031
100000,10800,1885,1047,1,0,2,6,1,50027
115000,8500,1919,1517,2,0,3,7,0,50019
190000,11751,1977,1844,2,0,3,7,2,50024
136900,9525,1954,1855,2,0,4,7,1,50017
180000,7750,2000,1430,2,1,3,7,2,50018
259500,7259,1945,2320,2,1,3,9,1,50016
176000,3230,1999,1458,2,1,2,5,2,50031
139000,11616,1962,1092,1,0,3,6,1,50029
320000,12376,1990,3222,3,0,5,11,3,50030
180000,21453,1969,988,1,0,1,4,2,50014
100000,6060,1939,1123,1,0,3,4,1,50019
136000,9464,1958,1080,1,0,3,5,1,50022
153900,7892,1993,1199,2,0,2,5,2,50030
181000,17043,1979,1586,2,0,3,7,2,50024
84500,6780,1935,754,1,0,2,5,0,50019
128000,4928,1976,958,2,0,2,5,2,50023
87000,4388,1930,840,1,0,3,5,0,50027
155000,7590,1966,1348,1,1,3,6,2,50022
226000,14200,1966,2157,2,1,4,8,2,50022
244000,12224,2000,2054,2,1,3,7,2,50018
150750,7388,1959,1327,1,0,3,7,2,50022
220000,6853,2001,1296,2,0,2,6,2,50033
180000,10335,1968,1721,2,1,3,7,2,50029
174000,10400,1970,1682,2,0,3,7,2,50024
143000,10355,1967,1214,2,0,3,5,1,50022
230000,9066,1999,1852,2,1,3,7,3,50015
231500,15426,1997,1764,2,1,3,7,2,50015
115000,10500,1971,864,1,0,3,5,0,50022
260000,11645,2005,1734,2,0,3,7,2,50015
166000,8520,1952,1385,2,0,4,6,2,50022
204000,10335,1999,1501,2,0,3,6,2,50015
130000,2522,2004,1709,2,0,3,7,2,50017
105000,6120,1931,875,1,0,2,5,1,50013
222500,9505,2001,2035,2,1,3,8,2,50018
141000,7500,2004,1080,1,0,3,6,0,50030
115000,6240,1936,1344,1,0,3,7,1,50013
122000,10356,1975,969,1,1,3,5,2,50015
190000,14803,1971,1993,2,1,4,8,2,50024
235000,13500,1960,1252,1,0,1,4,2,50014
79000,9600,1924,1096,1,0,2,5,0,50017
109500,7200,1950,1040,1,0,2,5,2,50022
254900,12552,2004,1947,2,1,3,8,2,50031
